Time	 FairTen4	 FairTen5	 FairTen6	 
0	 12846.2	 12843.8	 12843.8	 
0.002	 12874.5	 12872.2	 12872.2	 
0.004	 13088.5	 13086.1	 13086.1	 
0.006	 13578.5	 13576	 13576	 
0.008	 14341.3	 14338.6	 14338.6	 
0.01	 15332.2	 15329.3	 15329.3	 
0.012	 16492.8	 16489.7	 16489.7	 
0.014	 17765	 17761.6	 17761.6	 
0.016	 19097.2	 19093.6	 19093.6	 
0.018	 20446.5	 20442.5	 20442.5	 
0.02	 21778.5	 21774.3	 21774.3	 
0.022	 23067.7	 23063.2	 23063.2	 
0.024	 24296.1	 24291.4	 24291.4	 
0.026	 25453.1	 25448.2	 25448.2	 
0.028	 26543.2	 26540.7	 26540.7	 
0.03	 27628.5	 27635.5	 27635.5	 
0.032	 28815.8	 28839.4	 28839.4	 
0.034	 30196.3	 30239	 30239	 
0.036	 31805.2	 31864.7	 31864.7	 
0.038	 33617	 33686.5	 33686.5	 
0.04	 35561	 35632.2	 35632.2	 
0.042	 37545.6	 37610.3	 37610.3	 
0.044	 39480.4	 39532.3	 39532.3	 
0.046	 41291.7	 41326.7	 41326.7	 
0.048	 43000.2	 43051.7	 43051.7	 
0.05	 45928.6	 46117	 46117	 
0.052	 50925	 51225.9	 51225.9	 
0.054	 57247.4	 57579.1	 57579.1	 
0.056	 63731.6	 64021	 64021	 
0.058	 69494.6	 69703.9	 69703.9	 
0.06	 74144	 74268.3	 74268.3	 
0.062	 77689	 77743.9	 77743.9	 
0.064	 80613.8	 80655.3	 80655.3	 
0.066	 84421.5	 84531.1	 84531.1	 
0.068	 90467.2	 90687.2	 90687.2	 
0.07	 99152.7	 99479.9	 99479.9	 
0.072	 110099	 110505	 110505	 
0.074	 122590	 123040	 123040	 
0.076	 135898	 136361	 136361	 
0.078	 149417	 149871	 149871	 
0.08	 162676	 163102	 163102	 
0.082	 175306	 175690	 175690	 
0.084	 187017	 187350	 187350	 
0.086	 197597	 197874	 197874	 
0.088	 206919	 207137	 207137	 
0.09	 214944	 215105	 215105	 
0.092	 221718	 221829	 221829	 
0.094	 227361	 227429	 227429	 
0.096	 232038	 232074	 232074	 
0.098	 235938	 235952	 235952	 
0.1	 239245	 239245	 239245	 
0.102	 242114	 242110	 242110	 
0.104	 244663	 244659	 244659	 
0.106	 246960	 246959	 246959	 
0.108	 249022	 249025	 249025	 
0.11	 250827	 250833	 250833	 
0.112	 252316	 252323	 252323	 
0.114	 253409	 253415	 253415	 
0.116	 254019	 254020	 254020	 
0.118	 254058	 254051	 254051	 
0.12	 253452	 253436	 253436	 
0.122	 252147	 252119	 252119	 
0.124	 250111	 250071	 250071	 
0.126	 247338	 247287	 247287	 
0.128	 243845	 243785	 243785	 
0.13	 239672	 239604	 239604	 
0.132	 234871	 234799	 234799	 
0.134	 229508	 229435	 229435	 
0.136	 223652	 223581	 223581	 
0.138	 217372	 217306	 217306	 
0.14	 210736	 210676	 210676	 
0.142	 203800	 203749	 203749	 
0.144	 196615	 196574	 196574	 
0.146	 189223	 189192	 189192	 
0.148	 181657	 181637	 181637	 
0.15	 173941	 173933	 173933	 
0.152	 166099	 166102	 166102	 
0.154	 158150	 158162	 158162	 
0.156	 150111	 150133	 150133	 
0.158	 142002	 142034	 142034	 
0.16	 133847	 133889	 133889	 
0.162	 125671	 125722	 125722	 
0.164	 117505	 117565	 117565	 
0.166	 109382	 109450	 109450	 
0.168	 101338	 101416	 101416	 
0.17	 93411.2	 93498.1	 93498.1	 
0.172	 85641.1	 85737.2	 85737.2	 
0.174	 78066	 78171.3	 78171.3	 
0.176	 70723.1	 70837.6	 70837.6	 
0.178	 63647.2	 63770.7	 63770.7	 
0.18	 56870.3	 57002.4	 57002.4	 
0.182	 50421	 50561.2	 50561.2	 
0.184	 44324.6	 44472.2	 44472.2	 
0.186	 38603	 38757.3	 38757.3	 
0.188	 33275.4	 33435.5	 33435.5	 
0.19	 28358.7	 28523.4	 28523.4	 
0.192	 23868.1	 24036.4	 24036.4	 
0.194	 19818.4	 19988.8	 19988.8	 
0.196	 16224.2	 16395.1	 16395.1	 
0.198	 13101.7	 13271	 13271	 
0.2	 10469.2	 10634	 10634	 
0.202	 8345.6	 8501.95	 8501.95	 
0.204	 6743.4	 6886.12	 6886.12	 
0.206	 5653.53	 5776.3	 5776.3	 
0.208	 5161.96	 5233.43	 5233.43	 
0.21	 5356.43	 5387.8	 5387.8	 
0.212	 6066.16	 6067.47	 6067.47	 
0.214	 7175.78	 7153.65	 7153.65	 
0.216	 8520.04	 8483.54	 8483.54	 
0.218	 9934.37	 9892.4	 9892.4	 
0.22	 11300.7	 11259.8	 11259.8	 
0.222	 12875	 12893	 12893	 
0.224	 14891.4	 14929	 14929	 
0.226	 17063.6	 17096	 17096	 
0.228	 19202.1	 19224.6	 19224.6	 
0.23	 21459.4	 21506.1	 21506.1	 
0.232	 24212.1	 24303.9	 24303.9	 
0.234	 27626.6	 27760.5	 27760.5	 
0.236	 31678	 31838.1	 31838.1	 
0.238	 36247.7	 36416.8	 36416.8	 
0.24	 41210.5	 41376	 41376	 
0.242	 46476.9	 46631.9	 46631.9	 
0.244	 51996.3	 52137.9	 52137.9	 
0.246	 57740.8	 57868.2	 57868.2	 
0.248	 63686.6	 63799.4	 63799.4	 
0.25	 69801.7	 69899.2	 69899.2	 
0.252	 76043.2	 76124.8	 76124.8	 
0.254	 82360.8	 82426.3	 82426.3	 
0.256	 88703.8	 88753.4	 88753.4	 
0.258	 95026.3	 95061.5	 95061.5	 
0.26	 101292	 101315	 101315	 
0.262	 107475	 107487	 107487	 
0.264	 113557	 113563	 113563	 
0.266	 119531	 119531	 119531	 
0.268	 125388	 125386	 125386	 
0.27	 131126	 131122	 131122	 
0.272	 136738	 136733	 136733	 
0.274	 142216	 142211	 142211	 
0.276	 147550	 147544	 147544	 
