Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 Node2px 	 Node2py 	 Node2pz 	 Node3px 	 Node3py 	 Node3pz 	 Node4px 	 Node4py 	 Node4pz 	 Seg1Te 	 Seg2Te 	 Seg3Te 	 Seg4Te 	 
0	 -2.61714	 -4.76037	 -18.334	 -3.12991	 -6.64414	 -26.2367	 -3.64908	 -8.55478	 -34.31	 -4.20734	 -10.5793	 -42.3528	 -5.09397	 -13.5539	 -50.0641	 0	 45.5858	 90.3205	 136.732	 
0.002	 -2.61714	 -4.76037	 -18.334	 -3.12991	 -6.64414	 -26.2367	 -3.64908	 -8.55478	 -34.31	 -4.20734	 -10.5793	 -42.3528	 -5.09397	 -13.5539	 -50.0641	 0	 48.9819	 91.288	 136.702	 
0.004	 -2.61714	 -4.76037	 -18.334	 -3.12991	 -6.64414	 -26.2367	 -3.64908	 -8.55478	 -34.31	 -4.20734	 -10.5793	 -42.3528	 -5.09397	 -13.5539	 -50.0641	 0	 57.9697	 97.7276	 140.29	 
0.006	 -2.61714	 -4.76037	 -18.334	 -3.12991	 -6.64414	 -26.2367	 -3.64908	 -8.55478	 -34.31	 -4.20735	 -10.5793	 -42.3528	 -5.09397	 -13.5539	 -50.0641	 0	 64.201	 107.032	 151.125	 
0.008	 -2.61714	 -4.76037	 -18.334	 -3.12991	 -6.64414	 -26.2367	 -3.64908	 -8.55478	 -34.31	 -4.20736	 -10.5793	 -42.3528	 -5.09397	 -13.5539	 -50.0641	 0	 69.469	 116.261	 163.381	 
0.01	 -2.61714	 -4.76037	 -18.3339	 -3.12991	 -6.64414	 -26.2367	 -3.64908	 -8.55478	 -34.31	 -4.20737	 -10.5794	 -42.3528	 -5.09397	 -13.5539	 -50.0641	 0	 74.2118	 123.24	 171.496	 
0.012	 -2.61714	 -4.76038	 -18.3339	 -3.12992	 -6.64415	 -26.2367	 -3.64908	 -8.55478	 -34.3099	 -4.20738	 -10.5794	 -42.3528	 -5.09397	 -13.5539	 -50.0641	 0	 76.419	 125.901	 174.168	 
0.014	 -2.61715	 -4.76038	 -18.3339	 -3.12992	 -6.64416	 -26.2367	 -3.64908	 -8.55479	 -34.3099	 -4.2074	 -10.5795	 -42.3528	 -5.09397	 -13.5539	 -50.0641	 0	 75.3808	 124.006	 171.821	 
0.016	 -2.61715	 -4.76039	 -18.3339	 -3.12992	 -6.64417	 -26.2367	 -3.64908	 -8.55479	 -34.3099	 -4.20742	 -10.5795	 -42.3527	 -5.09397	 -13.5539	 -50.0641	 0	 72.122	 118.946	 165.822	 
0.018	 -2.61715	 -4.7604	 -18.3339	 -3.12992	 -6.64418	 -26.2367	 -3.64908	 -8.55479	 -34.3099	 -4.20744	 -10.5796	 -42.3527	 -5.09397	 -13.5539	 -50.0641	 0	 68.0915	 112.788	 158.49	 
