Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 Seg1Te 	 
0	 -2.5	 -4.33	 -16.6	 -2.61714	 -4.76037	 -18.334	 0	 
0.002	 -2.5	 -4.33	 -16.6	 -2.61714	 -4.76037	 -18.334	 0	 
0.004	 -2.5	 -4.33	 -16.6	 -2.61714	 -4.76037	 -18.334	 0	 
0.006	 -2.5	 -4.33	 -16.6	 -2.61714	 -4.76037	 -18.334	 0	 
0.008	 -2.5	 -4.33	 -16.6	 -2.61714	 -4.76037	 -18.334	 0	 
0.01	 -2.5	 -4.33	 -16.6	 -2.61714	 -4.76037	 -18.3339	 0	 
0.012	 -2.5	 -4.33	 -16.6	 -2.61714	 -4.76038	 -18.3339	 0	 
0.014	 -2.5	 -4.33	 -16.6	 -2.61715	 -4.76038	 -18.3339	 0	 
0.016	 -2.5	 -4.33	 -16.6	 -2.61715	 -4.76039	 -18.3339	 0	 
0.018	 -2.5	 -4.33	 -16.6	 -2.61715	 -4.7604	 -18.3339	 0	 
0.02	 -2.5	 -4.33	 -16.6	 -2.61715	 -4.76041	 -18.3339	 0	 
0.022	 -2.5	 -4.33	 -16.6	 -2.61716	 -4.76043	 -18.3338	 0	 
0.024	 -2.5	 -4.33	 -16.6	 -2.61716	 -4.76044	 -18.3338	 0	 
0.026	 -2.5	 -4.33	 -16.6	 -2.61717	 -4.76046	 -18.3338	 0	 
0.028	 -2.5	 -4.33	 -16.6	 -2.61717	 -4.76047	 -18.3338	 0	 
0.03	 -2.5	 -4.33	 -16.6	 -2.61717	 -4.76049	 -18.3337	 0	 
0.032	 -2.5	 -4.33	 -16.6	 -2.61718	 -4.76051	 -18.3337	 0	 
0.034	 -2.5	 -4.33	 -16.6	 -2.61719	 -4.76053	 -18.3337	 0	 
0.036	 -2.5	 -4.33	 -16.6	 -2.61719	 -4.76055	 -18.3336	 0	 
0.038	 -2.5	 -4.33	 -16.6	 -2.6172	 -4.76058	 -18.3336	 0	 
0.04	 -2.5	 -4.33	 -16.6	 -2.6172	 -4.7606	 -18.3336	 0	 
0.042	 -2.5	 -4.33	 -16.6	 -2.61721	 -4.76063	 -18.3335	 0	 
0.044	 -2.5	 -4.33	 -16.6	 -2.61722	 -4.76065	 -18.3335	 0	 
0.046	 -2.5	 -4.33	 -16.6	 -2.61723	 -4.76068	 -18.3335	 0	 
0.048	 -2.5	 -4.33	 -16.6	 -2.61724	 -4.76071	 -18.3334	 0	 
0.05	 -2.5	 -4.33	 -16.6	 -2.61724	 -4.76075	 -18.3334	 0	 
0.052	 -2.5	 -4.33	 -16.6	 -2.61725	 -4.76078	 -18.3333	 0	 
0.054	 -2.5	 -4.33	 -16.6	 -2.61726	 -4.76081	 -18.3333	 0	 
