Time	 Node0px 	 Node0py 	 Node0pz 	 Node1px 	 Node1py 	 Node1pz 	 Node2px 	 Node2py 	 Node2pz 	 Seg1Te 	 Seg2Te 	 
0	 -5.09397	 -13.5539	 -50.0641	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 69.1868	 69.1871	 
0.002	 -5.09397	 -13.5539	 -50.0641	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 69.1858	 69.1859	 
0.004	 -5.09397	 -13.5539	 -50.0641	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 69.1859	 69.1827	 
0.006	 -5.09397	 -13.5539	 -50.0641	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 69.2204	 69.197	 
0.008	 -5.09397	 -13.5539	 -50.0641	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 69.3376	 69.285	 
0.01	 -5.09397	 -13.5539	 -50.0641	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 69.5744	 69.503	 
0.012	 -5.09397	 -13.5539	 -50.0641	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 69.9509	 69.8755	 
0.014	 -5.09397	 -13.5539	 -50.0641	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 70.4648	 70.3974	 
0.016	 -5.09397	 -13.5539	 -50.0641	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 71.0918	 71.0416	 
0.018	 -5.09397	 -13.5539	 -50.0641	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 71.7949	 71.7662	 
0.02	 -5.09397	 -13.5539	 -50.0641	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 72.5351	 72.5261	 
0.022	 -5.09397	 -13.5539	 -50.0641	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 73.2812	 73.2855	 
0.024	 -5.09397	 -13.5539	 -50.0641	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 74.0144	 74.0243	 
0.026	 -5.09397	 -13.5539	 -50.0641	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 74.7298	 74.7384	 
0.028	 -5.09397	 -13.5539	 -50.0641	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 75.4322	 75.4357	 
0.03	 -5.09397	 -13.5539	 -50.0641	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 76.1301	 76.1282	 
0.032	 -5.09397	 -13.5539	 -50.0641	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 76.8295	 76.8252	 
0.034	 -5.09397	 -13.5539	 -50.0641	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 77.5297	 77.5275	 
0.036	 -5.09397	 -13.5539	 -50.0641	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 78.2215	 78.226	 
0.038	 -5.09397	 -13.5539	 -50.0641	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 78.8887	 78.903	 
0.04	 -5.09397	 -13.5539	 -50.0641	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 79.5116	 79.5364	 
0.042	 -5.09397	 -13.5539	 -50.0641	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 80.071	 80.1051	 
0.044	 -5.09397	 -13.5539	 -50.0642	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 80.5521	 80.5924	 
0.046	 -5.09397	 -13.5539	 -50.0642	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 80.9458	 80.9888	 
0.048	 -5.09397	 -13.5539	 -50.0642	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 81.2492	 81.292	 
0.05	 -5.09397	 -13.5539	 -50.0642	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 81.464	 81.5048	 
0.052	 -5.09397	 -13.5539	 -50.0642	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 81.594	 81.6323	 
0.054	 -5.09397	 -13.5539	 -50.0642	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 81.6429	 81.6794	 
0.056	 -5.09397	 -13.5539	 -50.0642	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 81.6124	 81.6485	 
0.058	 -5.09397	 -13.5539	 -50.0642	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 81.5023	 81.5392	 
0.06	 -5.09397	 -13.5539	 -50.0642	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 81.3106	 81.3489	 
0.062	 -5.09397	 -13.5539	 -50.0642	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 81.0349	 81.0745	 
0.064	 -5.09397	 -13.5539	 -50.0642	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 80.674	 80.7139	 
0.066	 -5.09397	 -13.5539	 -50.0642	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 80.2292	 80.2679	 
0.068	 -5.09397	 -13.5539	 -50.0642	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 79.7046	 79.7406	 
0.07	 -5.09397	 -13.5539	 -50.0642	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 79.1073	 79.1391	 
0.072	 -5.09397	 -13.5539	 -50.0642	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 78.4461	 78.4731	 
0.074	 -5.09397	 -13.5539	 -50.0642	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 77.7314	 77.7532	 
0.076	 -5.09397	 -13.5539	 -50.0642	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 76.9731	 76.99	 
0.078	 -5.09397	 -13.5539	 -50.0642	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 76.1808	 76.1933	 
0.08	 -5.09397	 -13.5539	 -50.0642	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 75.3632	 75.3717	 
0.082	 -5.09397	 -13.5539	 -50.0642	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 74.5284	 74.5332	 
0.084	 -5.09397	 -13.5539	 -50.0643	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 73.684	 73.6852	 
0.086	 -5.09397	 -13.5539	 -50.0643	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 72.838	 72.8354	 
0.088	 -5.09397	 -13.5539	 -50.0643	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 71.9989	 71.9921	 
0.09	 -5.09397	 -13.5539	 -50.0643	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 71.1758	 71.1645	 
0.092	 -5.09397	 -13.5539	 -50.0643	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 70.3783	 70.3622	 
0.094	 -5.09397	 -13.5539	 -50.0643	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 69.616	 69.5952	 
0.096	 -5.09397	 -13.5539	 -50.0643	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 68.8982	 68.873	 
0.098	 -5.09397	 -13.5539	 -50.0643	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 68.2334	 68.2043	 
0.1	 -5.09397	 -13.5539	 -50.0643	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 67.6289	 67.5965	 
0.102	 -5.09397	 -13.5539	 -50.0643	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 67.0908	 67.0558	 
0.104	 -5.09397	 -13.5539	 -50.0643	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 66.6243	 66.5872	 
0.106	 -5.09397	 -13.5539	 -50.0643	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 66.2332	 66.1944	 
0.108	 -5.09397	 -13.5539	 -50.0643	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 65.9207	 65.8807	 
0.11	 -5.09397	 -13.5539	 -50.0643	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 65.6893	 65.6482	 
0.112	 -5.09397	 -13.5539	 -50.0643	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 65.5406	 65.4988	 
0.114	 -5.09397	 -13.5539	 -50.0643	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 65.4756	 65.4336	 
0.116	 -5.09397	 -13.5539	 -50.0644	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 65.4946	 65.4527	 
0.118	 -5.09397	 -13.5539	 -50.0644	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 65.5966	 65.5553	 
0.12	 -5.09397	 -13.5539	 -50.0644	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 65.7798	 65.7397	 
0.122	 -5.09397	 -13.5539	 -50.0644	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 66.0411	 66.0028	 
0.124	 -5.09397	 -13.5539	 -50.0644	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 66.3766	 66.3405	 
0.126	 -5.09397	 -13.5539	 -50.0644	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 66.781	 66.7476	 
0.128	 -5.09397	 -13.5539	 -50.0644	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 67.2486	 67.2182	 
0.13	 -5.09397	 -13.5539	 -50.0644	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 67.7727	 67.7456	 
0.132	 -5.09397	 -13.5539	 -50.0644	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 68.3462	 68.3227	 
0.134	 -5.09397	 -13.5539	 -50.0644	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 68.9616	 68.9418	 
0.136	 -5.09397	 -13.5539	 -50.0644	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 69.611	 69.5951	 
0.138	 -5.09397	 -13.5539	 -50.0644	 -8.29695	 -23.0269	 -50.0008	 -11.5	 -32.5	 -50	 70.2862	 70.2743	 
